??  Dicionário Santome/Português — Araujo & Hagemeijer (2013)  ·  Extraído automaticamente,,,,,,,,
"Fonte: Dicionário livre Santome/Português · Gabriel Antunes de Araujo (USP/CNPq) & Tjerk Hagemeijer (U. Lisboa) · Hedra, 2013 · ~8500 entradas",,,,,,,,
Palavra Santome,Fonética,Categoria,Variante,Tradução PT,Frase (Santome),Frase (Português),Fonte,URL Áudio
kêxada-kobo,[ke??adak??b?],Substantivo,Forro (Santome),Covinha. palmeira.,,,Araujo & Hagemeijer (2013),
kêxidu,[ke??idu],Adjetivo,Forro (Santome),Esquecido. kisenglê[kis??gle](n.)Machadinho.Cf.klisengê.,,,Araujo & Hagemeijer (2013),
ke-xima,[?k???ima],Substantivo,Forro (Santome),Casatradicionalcomprimeiro kitaka[kita?ka](n.) Armadilhaemformadegancho,,,Araujo & Hagemeijer (2013),
kitali,[kita?li],Substantivo,Forro (Santome),Localisolado. 2.Mocho.Cf.kyê ladapalmeira.3.Ramosecodapalmeira.4.Ramosda,,,Araujo & Hagemeijer (2013),
kitanda,[ki?t?d? a],Substantivo,Forro (Santome),Pequenaloja. 2.Quitanda. klênidêsupadêklusu[?kle?ni?desu?pade?klusu](in-,,,Araujo & Hagemeijer (2013),
kitembu,[kit??bu],Substantivo,Forro (Santome),Mutirão. Trabalhodecaráter terj.)1.Abrenúncio! 2.Credo! 3.Crêemdeus-paie,Mutirão,Trabalhodecaráter terj.,Araujo & Hagemeijer (2013),
kitoli,[kit??li],Substantivo,Forro (Santome),MochodeSãoTomé.Otushartlau- klêsê[kle?se](v.)Crescer.,,,Araujo & Hagemeijer (2013),
bi. klêsenta,[kles??ta],Verbo,Forro (Santome),Acrescentar.,,,Araujo & Hagemeijer (2013),
kitxiba,[kit?i?ba],Substantivo,Forro (Santome),Banana-prata. Musabalbisia- klêsentadu[kles??tadu](adj.)Acrescentado.,Banana-prata,Musabalbisia- klêsentadu[kles??tadu](adj.,Araujo & Hagemeijer (2013),
na. klesentu,[kl??s?t?u],Substantivo,Forro (Santome),Acréscimo.,,,Araujo & Hagemeijer (2013),
kixiba,[ki?i?ba],Substantivo,Forro (Santome),Banana-prata.Cf.kitxiba. klesentxi[kl??s?t??i](adj.)Crescente.,,,Araujo & Hagemeijer (2013),
kixpa,[ki??pa],Substantivo,Forro (Santome),Barraca. 2.Cozinhatradicio- klesentxi[kl??s?t??i](n.)Quartocrescente.,,,Araujo & Hagemeijer (2013),
nal. klete,[kl??t?],Ideofone,Forro (Santome),Banana-prata.,,,Araujo & Hagemeijer (2013),
kixtipadu,[ki?ti?padu],Adjetivo,Forro (Santome),Resfriado. Cf. kuxtipa- kliadu[kli?adu](n.)1.Criado. 2.Empregado.,Resfriado,Cf.,Araujo & Hagemeijer (2013),
kiya,[?kija],Verbo,Forro (Santome),Pretender. 2.Querer. 3.Tencio- kliba[?kliba](n.) Brincadeiramovimentadaeruido- K,,,Araujo & Hagemeijer (2013),
kizaka,[kiza?ka],Substantivo,Forro (Santome),Kizaka.Pratoàbasedefolhade kliji[?kli?i](n.)Crise.,,,Araujo & Hagemeijer (2013),
kla,[?kla],Ideofone,Forro (Santome),Cf.kotakla. Oxyanthusspeciosus.,,,Araujo & Hagemeijer (2013),
klafasa,[kla?fasa],Substantivo,Forro (Santome),Cartilagem. klimi[?klimi](n.)Crime.,,,Araujo & Hagemeijer (2013),
klafatxi,[kla?fat?i],Substantivo,Forro (Santome),Carrapato. 2.Diabinhos. klina[kli?na](v.)Fincar.,,,Araujo & Hagemeijer (2013),
Personagensdehistóriastradicionais. klinkata,[kl?ka?ta],Substantivo,Forro (Santome),Criançaraquítica.,,,Araujo & Hagemeijer (2013),
klaga,[kla?ga],Verbo,Forro (Santome),Carregar. klinkêtê[kl?ke?te](n.)Larva.,,,Araujo & Hagemeijer (2013),
klagadô,[klaga?do],Substantivo,Forro (Santome),Carregador. klinkinha[kl?k???a](v.)Amarrotar.,,,Araujo & Hagemeijer (2013),
klagadu,[kla?gadu],Adjetivo,Forro (Santome),Carregado. klinkinhadu[kl?k???adu](adj.)Amarrotado.,,,Araujo & Hagemeijer (2013),
klakanhon,[klaka??õ],Substantivo,Forro (Santome),Calcanhar. klisakli[klisa?kli](n.)Klisakli.Utensíliodepescautili-,,,Araujo & Hagemeijer (2013),
klakata,[klaka?ta],Ideofone,Forro (Santome),Cf.sekuklakata. zadoparaacapturadecamarõeseoutrasespécies.,,,Araujo & Hagemeijer (2013),
klakla,[kla?kla],Substantivo,Forro (Santome),Camarãomuitopequeno. klisengê[klis??ge](n.)Machadinho.,,,Araujo & Hagemeijer (2013),
klala,[?klala],Substantivo,Forro (Santome),Clara. klixton[kli??tõ](n.)1.Cristão. 2.Serhumano.,,,Araujo & Hagemeijer (2013),
klalu,[?klalu],Adjetivo,Forro (Santome),Claro. klôbôklôbô[klo?boklo?bo](adj.)Desarrumado.,,,Araujo & Hagemeijer (2013),
klalufenene,[?klaluf?n??n?],Expressão,Forro (Santome),Claríssimo. klôbôklôbô[klo?boklo?bo](n.)Desmazelado.,,,Araujo & Hagemeijer (2013),
klama,[kla?ma],Verbo,Forro (Santome),Abrandar. 2.Acalmardachu- kloga[kl??ga](v.)Escorregar.,,,Araujo & Hagemeijer (2013),
va. klogadu,[kl??gadu],Adjetivo,Forro (Santome),Escorregado.,,,Araujo & Hagemeijer (2013),
klamuzu,[kla?muzu],Substantivo,Forro (Santome),Caramujo. kloklo[kl??kl?](v.)1.Rapar. 2.Raspar.,,,Araujo & Hagemeijer (2013),
domar. kloko,[kl??k?],Verbo,Forro (Santome),Rapar. 2.Raspar.Cf.kloklo.,,,Araujo & Hagemeijer (2013),
klana,[kla?na],Verbo,Forro (Santome),Afincar-se.,,,Araujo & Hagemeijer (2013),
klani,[kla?ni],Ideofone,Forro (Santome),Cf.kuluklani. klonha[?kl??? a](n.) 1.Coronha. 2.Coronhada.,,,Araujo & Hagemeijer (2013),
klanixi,[kla?ni?i],Substantivo,Forro (Santome),Artrosereumática. 3.Pessoaidosa.,,,Araujo & Hagemeijer (2013),
klapinhe,[kla?p???],Substantivo,Forro (Santome),Carapinha. klonha[kl????a](v.)Darumacoronhada.,,,Araujo & Hagemeijer (2013),
klapintêlu,[klap??telu],Substantivo,Forro (Santome),Carpinteiro. klonklo[kl???kl?](n.)1.Pescoço. 2.Angina.,,,Araujo & Hagemeijer (2013),
klasa,[kla?sa],Verbo,Forro (Santome),Calçar. klonkôji[klõko??i](n.)Cupim.,,,Araujo & Hagemeijer (2013),
klasi,[?klasi],Substantivo,Forro (Santome),Classeescolar. klonvesa[kl???v?sa](n.)Conversa.,,,Araujo & Hagemeijer (2013),
klason,[kla?sõ],Substantivo,Forro (Santome),Calção. 2.Calças. klonvesa[kl?v???sa](v.)Conversar.,,,Araujo & Hagemeijer (2013),
klason-zwatxi,[kla?sõ?zwat?i],Substantivo,Forro (Santome),Calçasdeganga. klonveson[kl?v???s?]? (n.)Conversa.,,,Araujo & Hagemeijer (2013),
klavon,[kla?võ],Substantivo,Forro (Santome),Carvão. klôpaxê[klopa??e](n.)Espingarda.,,,Araujo & Hagemeijer (2013),
klaya,[kla?ja],Verbo,Forro (Santome),Clarear. klôpô[?klopo](n.)Corpohumano.,,,Araujo & Hagemeijer (2013),
klebenta,[kl?b???ta],Verbo,Forro (Santome),Esconjurar. 2.Quebran- klôsô[?kloso](n.)1.Amendoeira-da-Índia.Termina-,,,Araujo & Hagemeijer (2013),
klêbentu,[kle?b?tu],Substantivo,Forro (Santome),Exantema. 2.Quisto. kloson[kl??s?]? (n.)1.Coração. 2.Coragem.3.Sensi-,,,Araujo & Hagemeijer (2013),
klêklê,[kle?kle],Substantivo,Forro (Santome),Brotodapalmeira. 2.Coste- bilidade.,,,Araujo & Hagemeijer (2013),
kloson-felu,[kl??s???f?lu],Adjetivo,Forro (Santome),Corajoso. 2.Deste- kodelu[k??d?lu](adj.)Manso.,,,Araujo & Hagemeijer (2013),
kloson-kebla,[kl??s??k??bla],Substantivo,Forro (Santome),Palpitação. kodo-binku[?k?d??b?ku](n.)Cordãoumbilical.,,,Araujo & Hagemeijer (2013),
kloson-kema,[kl??s???k?ma],Substantivo,Forro (Santome),Azia. kodo-d’awa[?k?d??dawa](n.) Kodo-d’awa. Psydrax,,,Araujo & Hagemeijer (2013),
kloson-lizu,[kl??s???lizu],Substantivo,Forro (Santome),Coração-rijo.Warnec- acutiflora.,,,Araujo & Hagemeijer (2013),
kloson-ngandu,[kl??s???g???du],Adjetivo,Forro (Santome),Mau. kodo-d’ope[?k?d?d??p?](n.)TendãodeAquiles.,,,Araujo & Hagemeijer (2013),
kloson-tatalugwa,[kl??s???tata?lugwa],Substantivo,Forro (Santome),Destemi- do-mato.Jasminumbakeri.,,,Araujo & Hagemeijer (2013),
kloson-tefitefi,[kl??s???t?fi?t?fi],Adjetivo,Forro (Santome),Ganancioso. 3.Querido.,,,Araujo & Hagemeijer (2013),
kloson-uxi,[kl??s???u?i],Substantivo,Forro (Santome),Nojo. kodon[k??d?]? (n.)Cordão.,,,Araujo & Hagemeijer (2013),
klôvina,[klo?vina],Substantivo,Forro (Santome),Corvina. kôdôni[kodo?ni](n.)Codorniz.,,,Araujo & Hagemeijer (2013),
klôwa,[?klowa],Substantivo,Forro (Santome),Coroa. 2.Coroadepalmeira. kofesa[k?f??sa](v.)Confessar.,,,Araujo & Hagemeijer (2013),
klôwa-kaza,[?klowaka?za],Substantivo,Forro (Santome),Buquêdenoiva. kôfô[?kofo](n.)1.Colo. 2.Esconderijo.3.Regaço.,,,Araujo & Hagemeijer (2013),
klôzê,[klo?ze],Verbo,Forro (Santome),Coser. 2.Costurar. kôkô[ko?ko](n.)Cará.,,,Araujo & Hagemeijer (2013),
kluklu,[klu?klu],Ideofone,Forro (Santome),Cf.monkluklu. koko[?k?k?](n.)Vagina.,,,Araujo & Hagemeijer (2013),
kluklute,[kluklu?t?],Substantivo,Forro (Santome),Lepra. kôkô[ko?ko](v.)1.Engatinhar. 2.Gatinhar.,,,Araujo & Hagemeijer (2013),
klukutu,[kluku?tu],Ideofone,Forro (Santome),Cf.olhaklukutu. kôkô-blanku[ko?ko?bl?k? u](n.)Cará-branco.Xantho-,,,Araujo & Hagemeijer (2013),
klumuklumu,[klu?muklu?mu],Substantivo,Forro (Santome),Cartilagem. somasagittifolium.,,,Araujo & Hagemeijer (2013),
klumunka,[klum??ka],Verbo,Forro (Santome),Forçar. 2.Esfregarcom kôkôi-mon[koko?i?mõ](n.)Cotovelo.,,,Araujo & Hagemeijer (2013),
klupa,[?klupa],Substantivo,Forro (Santome),Culpa. dukôkôkô. 3.Cf.fyôkôkôkô.,,,Araujo & Hagemeijer (2013),
klupadu,[klu?padu],Adjetivo,Forro (Santome),Culpado. kokoloti[k?k??l?ti](n.) Porçãodecomidaquefica,,,Araujo & Hagemeijer (2013),
k ó l l u eo pu de,[?k p l a u l p m u a],( c n e .,Forro (Santome),rc 1 a . d C e an u e m co d d ec e il l i a t t r a o . ). 2.Medidapara a kô ga k r o r n a d d j a a a [k o o f ? u k n õ d d o ?a d ] a (n p . a ) n 1 e . la C . oco. 2.Coqueiro.Cocos,,,Araujo & Hagemeijer (2013),
kluva,[?kluva],Substantivo,Forro (Santome),Curva. kokonzuku[k?k???zuku](n.) Rabo-de-junco. Phaeton,,,Araujo & Hagemeijer (2013),
l k e o p k t o u v r a u d s. u,[k?k??vadu],Substantivo,Forro (Santome),Corcovado.Caranxhip-,,,Araujo & Hagemeijer (2013),
kobla,[k??bla],Verbo,Forro (Santome),Cobrar.,,,Araujo & Hagemeijer (2013),
kobli,[?k?bli],Substantivo,Forro (Santome),Cobre. kola[?k?la](n.)1.Coleira.Colaacuminata. 2.Noz-,,,Araujo & Hagemeijer (2013),
koblo,[?k?bl?],Substantivo,Forro (Santome),Cobra. de-cola.Colaacuminata.,,,Araujo & Hagemeijer (2013),
koblo-bôbô,[?k?bl?bo?bo],Substantivo,Forro (Santome),Cobra-amarela.Schis- kola[k??la](v.)Colar.,,,Araujo & Hagemeijer (2013),
tometopumthomensis. kolaji,[k??la?i],Verbo,Forro (Santome),Coragem.,,,Araujo & Hagemeijer (2013),
koblo-pletu,[?k?bl??pl?tu],Substantivo,Forro (Santome),Cobra-preta.Najame- chholziacoriacea.,,,Araujo & Hagemeijer (2013),
lanoleuca. kola-makaku,[?k?lama?kaku],Substantivo,Forro (Santome),Cola-macaco. Tri-,,,Araujo & Hagemeijer (2013),
kobo,[?k?b?],Substantivo,Forro (Santome),Buraco. 2.Cova. chiliagrandifolia.,,,Araujo & Hagemeijer (2013),
rasalém-mar. kolega,[k??l?ga],Substantivo,Forro (Santome),Colega.,,,Araujo & Hagemeijer (2013),
kobo-dentxi,[?k?b??d?t?i],Substantivo,Forro (Santome),Cárie. kôlêkabêsalembla[ko?leka?besal??bla](expr.)Refle-,,,Araujo & Hagemeijer (2013),
kobo-ke,[?k?b??k?],Substantivo,Forro (Santome),Interiordacasa. tir.,,,Araujo & Hagemeijer (2013),
koda,[k??da],Verbo,Forro (Santome),Acordar. kolema-dôdô[?k?l?mado?do](n.)Kolema-dôdô.Mil-,,,Araujo & Hagemeijer (2013),
kodadu,[k??dadu],Adjetivo,Forro (Santome),Acordado. lettiabarteri.,,,Araujo & Hagemeijer (2013),
kode,[k??d?],Substantivo,Forro (Santome),Benjamim. 2.Caçula. kôlêmon[kole?mõ](n.)Corrimão.,,,Araujo & Hagemeijer (2013),
kôlênitlaxi,[ko?le?ni?tla?i],Expressão,Forro (Santome),Perseguir. kontaji[kõ?ta?i](n.)1.Conto. 2.Fábula.3.Lenda.,,,Araujo & Hagemeijer (2013),
kolenta,[k??l?t?a],Numeral,Forro (Santome),Quarenta. kontenta [kõt??ta] (v.),,,Araujo & Hagemeijer (2013),
kolentxi,[k??l?t??i],Substantivo,Forro (Santome),Corrente. 2.Contentar(-se).,,,Araujo & Hagemeijer (2013),
kôlêpyan-ba-labu,[kole?pj???ba?labu],Substantivo,Forro (Santome),Kôlêpyan-ba- kontentadu[kõt??tadu](adj.)Conformado.,,,Araujo & Hagemeijer (2013),
labu.Elopssenegalensis. kontentxi,[kõ?t?t?i],Adjetivo,Forro (Santome),Contente.,,,Araujo & Hagemeijer (2013),
kôlêsêlêlê,[ko?lesele?le],Expressão,Forro (Santome),Fluir(cursod’água). kontinensya[k?t?i?n?s?ja](n.)Continência.,,,Araujo & Hagemeijer (2013),
kôlikô,[koli?ko],Substantivo,Forro (Santome),Piparote. kontinwa[k?t?i?nwa](v.)Continuar.,,,Araujo & Hagemeijer (2013),
kolima,[?k?lima],Substantivo,Forro (Santome),Cólima. Lonchocarpusseri- kontla[?kõtla](n.) 1.Amuleto. 2.Kontla. Remédio,Cólima,Lonchocarpusseri- kontla[?kõtla](n.,Araujo & Hagemeijer (2013),
kôlô,[?kolo],Substantivo,Forro (Santome),Amuletoemformadealmofada kontla[?kõtla](prep.)Contra.,,,Araujo & Hagemeijer (2013),
kôlô-bôbô,[?kolobo?bo],Substantivo,Forro (Santome),Kota-wê.Cf.kota-wê. kontlê[kõ?tle](n.)Ódio.,,,Araujo & Hagemeijer (2013),
kôlomba,[ko?lõba],Substantivo,Forro (Santome),Estrangeiro. 2.Europeu. kontlê[kõ?tle](v.)Odiar. K,,,Araujo & Hagemeijer (2013),
kolombeta,[k?l???b?ta],Substantivo,Forro (Santome),Colombeta. Coryphaena pondenteamildobras.,Colombeta,Coryphaena pondenteamildobras.,Araujo & Hagemeijer (2013),
equiselis. konvêsê,[kõve?se],Verbo,Forro (Santome),Conformar(-se).,,,Araujo & Hagemeijer (2013),
kôlombêya,[kolõ?beja],Substantivo,Forro (Santome),Algazarra. 2.Grupode konveta[k?v???ta](v.)1.Benzer. 2.Esconjurar. 3.Fi-,,,Araujo & Hagemeijer (2013),
kôlônu,[ko?lonu],Substantivo,Forro (Santome),Colono. konvidu[k???vidu](n.)Convite.,,,Araujo & Hagemeijer (2013),
kôlô-xindja,[?kolo???d?a],Adjetivo,Forro (Santome),Cinzento. konvitxi[k???vit?i](n.)Convite.,,,Araujo & Hagemeijer (2013),
komandantxi,[k?m???d?t??i],Substantivo,Forro (Santome),Comandante. konvlesa[k?v?l??sa](v.)Conversar.Cf.klonvesa.,,,Araujo & Hagemeijer (2013),
komandantxi-vapô,[k?m???d?t??iva?po],Substantivo,Forro (Santome),Almirante. konxa[?kõ?a](n.)Concha.,,,Araujo & Hagemeijer (2013),
komesa,[k?m??sa],Verbo,Forro (Santome),Começar. 2.Iniciar. konxidu[k????idu](adj.)Conhecido.,,,Araujo & Hagemeijer (2013),
komesu,[k??m?su],Substantivo,Forro (Santome),Começo. 2.Início. 3.Prin- konxtleva[k???tl??va](v.)Conservar.,,,Araujo & Hagemeijer (2013),
komoda,[k?m??da],Verbo,Forro (Santome),Acomodar. 2.Incomodar. kopa[?k?pa](n.)1.Copa. 2.Copas.Cf.fya-kopa.,,,Araujo & Hagemeijer (2013),
kompa,[kõ?pa],Substantivo,Forro (Santome),Compadre. kopla[k??pla](v.)Comprar.,,,Araujo & Hagemeijer (2013),
kompanhe,[kõp?????],Substantivo,Forro (Santome),Companheiro. kopladu[k??pladu](adj.)Comprado.,,,Araujo & Hagemeijer (2013),
kondê,[kõ?de],Substantivo,Forro (Santome),Esconderijo. kopu[?k?pu](n.)Copo.,,,Araujo & Hagemeijer (2013),
kondena,[k?d? ??na],Verbo,Forro (Santome),Condenar. kosa[?k?sa](n.)Ombro.,,,Araujo & Hagemeijer (2013),
kondidu,[kõ?didu],Adjetivo,Forro (Santome),Escondido. kosa[k??sa](n.)Sarna.,,,Araujo & Hagemeijer (2013),
kondji,[?kõd?i],Substantivo,Forro (Santome),Conde. kosa[k??sa](v.)Coçar.,,,Araujo & Hagemeijer (2013),
koneta,[k??n?ta],Substantivo,Forro (Santome),Chifre. 2.Clarim. 3.Corneta. kosakosa[?k?sa?k?sa](n.)Comigo-ninguém-pode.Di-,,,Araujo & Hagemeijer (2013),
konetêlu,[k?n??telu],Substantivo,Forro (Santome),Corneteiro. kôsô[?koso](n.) 1.Canoaondeselavaoandim.,,,Araujo & Hagemeijer (2013),
kongô,[?kõgo],Ideofone,Forro (Santome),Cf.pletukongô. 2.Coxa.,,,Araujo & Hagemeijer (2013),
konjuntu,[kõ???tu],Substantivo,Forro (Santome),Banda. 2.Conjuntomusi- koson[k??s?]? (n.)Colchão.,,,Araujo & Hagemeijer (2013),
cal. kota,[k??ta],Verbo,Forro (Santome),Cortar. 2.Esconjurar. 3.Movi-,,,Araujo & Hagemeijer (2013),
konki,[kõ?ki],Adjetivo,Forro (Santome),Corcovado. 2.Corcunda. mentodosquadrisduranteoatosexual.,,,Araujo & Hagemeijer (2013),
konko,[k???k?],Substantivo,Forro (Santome),Konko.Dactylopterusvolitans. kota-bambi[k??ta?b?b? i](v.) Esconjurarpessoaaco-,,,Araujo & Hagemeijer (2013),
konomia,[k?n??mia],Substantivo,Forro (Santome),Economia.,,,Araujo & Hagemeijer (2013),
konsê,[kõ?se],Substantivo,Forro (Santome),Conselho. kotakadela[k??taka?d?la](v.)Saracotear.,,,Araujo & Hagemeijer (2013),
nhecer. kota-wê,[?k?ta?we],Substantivo,Forro (Santome),Kota-wê.Cephalopholisni-,,,Araujo & Hagemeijer (2013),
konseta,[k?s???ta],Verbo,Forro (Santome),Consertar. 2.Reparar. gri. 2.Olhardepoucosamigos.,,,Araujo & Hagemeijer (2013),
konsetadu,[k?s???tadu],Adjetivo,Forro (Santome),Consertado. 2.Repa- kotawiniwini[k??tawi?niwi?ni](expr.)Cortarempe-,,,Araujo & Hagemeijer (2013),
konsola,[k?s???la],Verbo,Forro (Santome),Consolar. kotokoto[k??t?k??t?](id.) 1.Cf. danakotokoto.,,,Araujo & Hagemeijer (2013),
konta,[kõ?ta],Verbo,Forro (Santome),Contar. 2.Narrar. 2.Cf.suzukotokoto.,,,Araujo & Hagemeijer (2013),
kôtxi,[?kot?i],Substantivo,Forro (Santome),Palácio. kukunudu[kuku?nudu](n.)Mododeprepararpolvo.,,,Araujo & Hagemeijer (2013),
kovadu,[k??vadu],Adjetivo,Forro (Santome),Covarde. kula[?kula](n.)Cura.,,,Araujo & Hagemeijer (2013),
kôvêlu,[ko?velu],Substantivo,Forro (Santome),Coveiro. kuladu[ku?ladu](adj.)Curado.,,,Araujo & Hagemeijer (2013),
koventa,[k??v?t?a],Verbo,Forro (Santome),Converter. 2.Esconjurar. kulandêlu[kul???delu](n.)Curandeiro.,,,Araujo & Hagemeijer (2013),
kôvi,[?kovi],Substantivo,Forro (Santome),Couve. kulêtê[ku?lete](n.)1.Casaco. 2.Colete. 3.Sutiã.,,,Araujo & Hagemeijer (2013),
kôxô,[?ko?o],Adjetivo,Forro (Santome),Coxo. 2.Manco. kulu[ku?lu](adj.)Cru.,,,Araujo & Hagemeijer (2013),
koxta,[k???ta],Verbo,Forro (Santome),Apoiar(-se). 2.Encostar(-se). kulu[?kulu](adj.)Escuro.,,,Araujo & Hagemeijer (2013),
koxtadu,[k???tadu],Adjetivo,Forro (Santome),Apoiado. 2.Associado. kulud???[?kulu?d???](expr.)Escuríssimo.,,,Araujo & Hagemeijer (2013),
kôy,[?koj],Substantivo,Forro (Santome),Bossa. 2.Corcunda. 3.Saliência. kulukuku[?kulu?kuku](n.)Rolacinzenta.Streptope-,,,Araujo & Hagemeijer (2013),
kôyê,[ko?je],Verbo,Forro (Santome),Colher. 2.Encolher.3.Escolher. liasenegalensis.,,,Araujo & Hagemeijer (2013),
kôyidu,[ko?jidu],Adjetivo,Forro (Santome),Encolhido. 2.Escolhido. kulukulu[?kulu?kulu](n.)1.Cheiro.Normalmentede,,,Araujo & Hagemeijer (2013),
kôykôy,[koj?koj],Adjetivo,Forro (Santome),"Cheiodesaliências. 2.Desa- carnecrua,depeixecruoudaparturiente. 2.Jogoin-",,,Araujo & Hagemeijer (2013),
kôzu,[?kozu],Substantivo,Forro (Santome),Cós. kuma[?kuma](conj.)Que.Introduzoraçõescompleti-,,,Araujo & Hagemeijer (2013),
ku,[?ku],Conjunção,Forro (Santome),E.Coordenanomesepronomes. vas.Êsêbêkumangafetendasedipêdlêlu.Elesa-,,,Araujo & Hagemeijer (2013),
kumemuntu.Souumhomemquecomemuito. kuma,[?kuma],Substantivo,Forro (Santome),Espuma.,,,Araujo & Hagemeijer (2013),
kuadu,[ku?adu],Adjetivo,Forro (Santome),Coado. 2.Escoado. kumbina[k?bi?na](v.)Combinar.,,,Araujo & Hagemeijer (2013),
kuba,[ku?ba],Substantivo,Forro (Santome),Atosexualdeanimais. kumbinadu[k?bi?nadu](adj.)Combinado.,,,Araujo & Hagemeijer (2013),
kubangu,[ku?b?g? u],Substantivo,Forro (Santome),Incenso.Crotonstellulifer. kumbinason[k?bina?sõ](n.)1.Acordo. 2.Combina-,,,Araujo & Hagemeijer (2013),
kubli,[ku?bli],Verbo,Forro (Santome),Cobrir. 2.Encobrir.3.Incubar. ção.,,,Araujo & Hagemeijer (2013),
kubliovu,[ku?bli??vu],Expressão,Forro (Santome),Chocarovo(s). kumbu[k??bu](adj.)1.Cortado. 2.Reduzido.,,,Araujo & Hagemeijer (2013),
kubli-ovu,[ku?bli??vu],Substantivo,Forro (Santome),Atosexualdeanimais. kumbudu[k??budu](adj.)1.Cortadocurto. 2.Redu-,,,Araujo & Hagemeijer (2013),
kubli-wê,[ku?bli?we],Substantivo,Forro (Santome),Bofetada. zido.,,,Araujo & Hagemeijer (2013),
kubu,[?kubu],Substantivo,Forro (Santome),Investida. kume[ku?m?](n.)Comida.,,,Araujo & Hagemeijer (2013),
kudia,[kudi?a],Substantivo,Forro (Santome),Alimentosagradooferecidoaos kume[ku?m?](v.)Comer.,,,Araujo & Hagemeijer (2013),
antepassadosnodjambierepartidosdepoisdameia- kumeawa,[ku?m??awa],Expressão,Forro (Santome),Embriagar(-se).,,,Araujo & Hagemeijer (2013),
kudji,[ku?d?i],Verbo,Forro (Santome),Acudir. 2.Cozinhar. 3.Respon- kumedô[kum??do](n.)Comedor.,,,Araujo & Hagemeijer (2013),
d ku er d . jidela,[kud?i?d?la],Substantivo,Forro (Santome),Cozedura. 2.Cozinhei- k k u u m m e e d d u u [ a k w u a ?m [k ?d u u ?m ] ? ( d a u dj ? . a ) w C a o ] m (e id x o p . r.)Embriagado.,,,Araujo & Hagemeijer (2013),
kujidu,[ku??idu],Adjetivo,Forro (Santome),Cozido. 2.Cozinhado.Cf. kumpli[k??pli](v.)1.Cumprir. 2.Obedecer.,,,Araujo & Hagemeijer (2013),
kudjidu. kunda,[k??da],Verbo,Forro (Santome),Julgar. 2.Pensar.3.Presumir.,,,Araujo & Hagemeijer (2013),
kuku,[ku?ku],Substantivo,Forro (Santome),Larvasdeinsetoquevivemnoin- 4.Supor.,,,Araujo & Hagemeijer (2013),
kukuku,[ku?kuku],Substantivo,Forro (Santome),Coruja. kundu[k??du](n.)Pentelho.,,,Araujo & Hagemeijer (2013),
kukumba,[ku?k?ba],Substantivo,Forro (Santome),Saltão.Periophthalmusbar- kundu-di-mwala-ve[k??dudi?mwala?v?](n.)Kundu-,,,Araujo & Hagemeijer (2013),
kukunu,[kuku?nu],Verbo,Forro (Santome),Abaixar(-se). 2.Acocorar. kunduta[k??duta](n.)Comportamento.,,,Araujo & Hagemeijer (2013),
kukunudu,[kuku?nudu],Adjetivo,Forro (Santome),Abaixado. 2.Acoco- kunfuzon[k?fu?z?]? (n.)Confusão.,,,Araujo & Hagemeijer (2013),
rado. kunfya,[k??fja],Verbo,Forro (Santome),Confiar.,,,Araujo & Hagemeijer (2013),
kunfyansa,[k??fj?s?a],Substantivo,Forro (Santome),Confiança. kuza[ku?za](v.)Acusar.,,,Araujo & Hagemeijer (2013),
kunga,[k??ga],Verbo,Forro (Santome),Esfregarcomforça. 2.Pôr. kuzidu[ku?zidu](n.)Cozido.,,,Araujo & Hagemeijer (2013),
kungapê,[k??ga?pe],Expressão,Forro (Santome),Assinalar. kuzinhêra[kuzi??era](n.)Cozinheira.,,,Araujo & Hagemeijer (2013),
kunha,[?k??a],Substantivo,Forro (Santome),Auxíliodepessoainfluente. kuzinhêru[kuzi??eru](n.)Cozinheiro.,,,Araujo & Hagemeijer (2013),
kunhada,[ku??ada],Substantivo,Forro (Santome),Cunhada. 4.Coisa.,,,Araujo & Hagemeijer (2013),
kunhadu,[ku??adu],Substantivo,Forro (Santome),Cunhado. kwa-bêbê[?kwabe?be](n.)Bebida.,,,Araujo & Hagemeijer (2013),
kunsuta,[k??suta],Substantivo,Forro (Santome),Consulta. kwada[?kwada](n.)Cunhada.,,,Araujo & Hagemeijer (2013),
tas. kwadô,[kwa?do],Substantivo,Forro (Santome),Coador.,,,Araujo & Hagemeijer (2013),
kunu,[ku?nu],Verbo,Forro (Santome),Arrumar. 2.Juntar. 3.Recolher. kwadu[?kwadu](n.)1.Cunhado. 2.Genro.,,,Araujo & Hagemeijer (2013),
kunudu,[ku?nudu],Adjetivo,Forro (Santome),Aconchegado. 2.Arruma- kwa-fedu[?kwa?f?du](n.) 1.Conspiração. 2.Feiti- K,,,Araujo & Hagemeijer (2013),
kunvidadu,[k?vi?dadu],Substantivo,Forro (Santome),Convidado. kwa-floga[?kwafl??ga](n.)Brincadeira.,,,Araujo & Hagemeijer (2013),
kunvitxi,[k??vit?i],Substantivo,Forro (Santome),Convite.Cf.konvidu. kwaji[?kwa?i](adj.)Ansioso.,,,Araujo & Hagemeijer (2013),
kunxensa,[k????s?a],Substantivo,Forro (Santome),Consciência. 2.Ética. kwaji[?kwa?i](adv.)Quase.,,,Araujo & Hagemeijer (2013),
