??  Dicionário Santome/Português — Araujo & Hagemeijer (2013)  ·  Extraído automaticamente,,,,,,,,
"Fonte: Dicionário livre Santome/Português · Gabriel Antunes de Araujo (USP/CNPq) & Tjerk Hagemeijer (U. Lisboa) · Hedra, 2013 · ~8500 entradas",,,,,,,,
Palavra Santome,Fonética,Categoria,Variante,Tradução PT,Frase (Santome),Frase (Português),Fonte,URL Áudio
dadô-soya,[da?do?s?ja],Substantivo,Forro (Santome),Contadordehistórias. 3.Furioso.4.Malparado. 5.Periclitante. 6.Zanga-,,,Araujo & Hagemeijer (2013),
dadu,[?dadu],Adjetivo,Forro (Santome),Simpático. do.,,,Araujo & Hagemeijer (2013),
relaçãoamorosa. danakotokoto,[da?nak??t?k??t?],Expressão,Forro (Santome),Estragadopor,,,Araujo & Hagemeijer (2013),
dafaka,[?da?faka],Expressão,Forro (Santome),Esfaquear. 2.Fazerum completo.,,,Araujo & Hagemeijer (2013),
corte. dangula,[d?g? u?la],Substantivo,Forro (Santome),Remendo.,,,Araujo & Hagemeijer (2013),
daflokadu,[?dafl??kadu],Expressão,Forro (Santome),Empurrar. danomi[?da?n?mi](expr.)Nomear.,,,Araujo & Hagemeijer (2013),
daga,[da?ga],Expressão,Forro (Santome),Indagar. 2.Sondar. dansadô[d?s?a?do](n.)Dançarino.,,,Araujo & Hagemeijer (2013),
dain,[da??],Substantivo,Forro (Santome),Dain.Lomariopsisguineensis. dansadô-mwala[d?s?a?do?mwala](n.)Dançarina.,,,Araujo & Hagemeijer (2013),
dajatu,[?da??atu],Expressão,Forro (Santome),Arrotar. dansu-kongô[?d?s?u?kõgo](n.)Danço-Congo.Repre-,,,Araujo & Hagemeijer (2013),
dajêtu,[?da??etu],Expressão,Forro (Santome),"Remediar. 2.Ajudarde sentaçãocomcercadetrintafigurantes,executadaao",,,Araujo & Hagemeijer (2013),
daji,[?da?i],Substantivo,Forro (Santome),Idade.Cf.dadji. daodji[?da??d?i](expr.)Ordenar.,,,Araujo & Hagemeijer (2013),
dajinga,[?da???ga],Expressão,Forro (Santome),Remendaracordadetre- daosa[?da??sa](expr.)Darporradas.,,,Araujo & Hagemeijer (2013),
par. dapankada,[?dap???kada],Expressão,Forro (Santome),Bater. 2.Espan-,,,Araujo & Hagemeijer (2013),
bom,[?daka?besa?f?du],Expressão,Forro (Santome),Mergu- car.,,,Araujo & Hagemeijer (2013),
dakapotxi,[?daka?p?t?i],Expressão,Forro (Santome),Derrotaralguémno 3.Denunciar.,,,Araujo & Hagemeijer (2013),
dakasa,[?da?kasa],Expressão,Forro (Santome),Acasalar. 2.Fecundar. dapena[?da?p?n?a](expr.)1.Causarpena. 2.Meter,,,Araujo & Hagemeijer (2013),
dakaxtigu,[?daka??tigu],Expressão,Forro (Santome),Castigar. 2.Pu- dapinsu[?da?p?su](expr.)Empurrar.,,,Araujo & Hagemeijer (2013),
nir. dapontope,[?dap?t???p?],Expressão,Forro (Santome),Pontapear.,,,Araujo & Hagemeijer (2013),
dakebla,[?da?k?bla],Expressão,Forro (Santome),Gargalhar. dasaklixtu[?dasa?kli?tu](expr.)Aparecer.,,,Araujo & Hagemeijer (2013),
dasayaloda,[?da?saja?l?da],Expressão,Forro (Santome),Passear. 2.Va- dêsu[?desu](n.)Deus.,,,Araujo & Hagemeijer (2013),
guear. dêsupaga,[?desupa?ga],Expressão,Forro (Santome),Obrigado.,,,Araujo & Hagemeijer (2013),
dasôtxi,[?da?sot?i],Expressão,Forro (Santome),Açoitar. 2.Bater. detadu[d??tadu](adj.)Deitado. D,,,Araujo & Hagemeijer (2013),
datopi,[?da?t?pi],Expressão,Forro (Santome),Tropeçar. deva[?d?va](n.)1.Estrela-d’alva. 2.Estrela-Polar.,,,Araujo & Hagemeijer (2013),
datxifina,[?da?t?ifina],Expressão,Forro (Santome),Acicatar. 2.Atiçar. devasa[d??vasa](n.)Devassa.,,,Araujo & Hagemeijer (2013),
datxinta,[?da?t??ta],Expressão,Forro (Santome),Colorir. 2.Pintar. cadoaopescoçodosrecém-nascidosparaosproteger,,,Araujo & Hagemeijer (2013),
davala,[?da?vala],Expressão,Forro (Santome),Açoitar. 2.Bater. dosfeiticeirosouaopescoçodeumgémeosobreviven-,,,Araujo & Hagemeijer (2013),
davenha,[?da?v??a],Expressão,Forro (Santome),Darmargema. te.,,,Araujo & Hagemeijer (2013),
dawa,[?dawa],Substantivo,Forro (Santome),Cocotenro. dêvê[de?ve](n.)Dívidaespiritual.,,,Araujo & Hagemeijer (2013),
dawê,[?da?we],Expressão,Forro (Santome),Germinar. 2.Olhar. 3.Vi- dêvê[de?ve](v.)Dever.,,,Araujo & Hagemeijer (2013),
giar. dêvêsa,[deve?sa],Verbo,Forro (Santome),Atravessar.,,,Araujo & Hagemeijer (2013),
daxikotxi,[?da?i?k?t?i],Expressão,Forro (Santome),Chicotear. dêvidu[de?vidu](n.)Pessoanascidacomdívidaespi-,,,Araujo & Hagemeijer (2013),
dê,[?de],Pronome possessivo,Forro (Santome),Dela. 2.Delas. 3.Dele. 4.Deles. ritual.,,,Araujo & Hagemeijer (2013),
debota,[d?b??ta],Verbo,Forro (Santome),Desbotar. 2.Discutir. 3.Ta- dêya[?deja](n.)1.Amiga. 2.Amigo.3.Namorada.,,,Araujo & Hagemeijer (2013),
dêdê,[de?de],Substantivo,Forro (Santome),Querida. 2.Querido. dêya[de?ja](v.) 1.Cobiçar. 2.Desejar. 3.Flertar.,,,Araujo & Hagemeijer (2013),
dedu,[?d?du],Substantivo,Forro (Santome),Dedo. dêyason[deja?sõ](n.)Enamoramento.,,,Araujo & Hagemeijer (2013),
dedu-longô,[?d?du?lõgo],Substantivo,Forro (Santome),Dedomédio. dezasete[d?za?s?t?](num.)Dezassete.,,,Araujo & Hagemeijer (2013),
dedu-neni,[?d?du?n?ni],Substantivo,Forro (Santome),Dedoanelar. dezasêxi[d?za?se?i](num.)Dezasseis.,,,Araujo & Hagemeijer (2013),
dedu-nglandji,[?d?du??gl?d? ?i],Substantivo,Forro (Santome),Dedopolegar. dêzêja[deze??a](v.)Desejar.,,,Araujo & Hagemeijer (2013),
dedu-ponta,[?d?dup???ta],Substantivo,Forro (Santome),Dedoindicador. dezemblu[d??z?b?lu](n.)Dezembro.,,,Araujo & Hagemeijer (2013),
