"Palavra (Lung'Ie)","Categoria","Traducao PT","Variante","Fonte"
"xitamagu","Substantivo","estômago zulu n. azul","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"xoferi","Substantivo","motorista zulu din expr. muito azul","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"xoxo","Substantivo","pica-peixe-de-peito-azul                   zulyu n. julho","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"zunhu","Substantivo","junho","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Xperansa","Topónimo","Esperança","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"zunta","Verbo","juntar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"zunta kabese","Expressão","pensar em coletivo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"zunta udêdu","Expressão","rezar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"xtanjêw","Substantivo","estrangeiro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"xtuda","Verbo","estudar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"xtudu","Substantivo","estudo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"xuxadadi","Substantivo","sociedade","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Zwan","Antropónimo","João","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"xyadu txibika","Expressão","cheio até a boca","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"xyê","Verbo","sair","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"xyense","Substantivo","ciência","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"xyota-kafe","Substantivo","xyota-kafeT06","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"yêlê","Interjeição","aqui está!","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"yew","Substantivo","ilhéu","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"za","Advérbio","já","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"zagwa","Substantivo","azagoa. Prato típico feito com","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"zanêw","Substantivo","janeiro","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"zenze","Substantivo","zenze (Pachylobus edulis)T15","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"zêtu","Substantivo","jeito","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"zo","Substantivo","momento","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Zotona","Topónimo","Azeitona","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"zubyan","Substantivo","bolso","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"zuga bola","Expressão","jogar futebol","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
