"Palavra (Lung'Ie)","Categoria","Traducao PT","Variante","Fonte"
"gan","Verbo","ganhar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"finu lekeleke","Expressão","muito fino ganiga n. virilha","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"firya","Verbo","arrefecer gansa v. agarrar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fisa","Verbo","encerrar gapan n. carapau","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fisu","Substantivo","ofício gasa-abya n. garça-ribeirinha","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Floripi","Antropónimo","Floripes gasa-baanku n. garça-branca","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fo","Verbo","vir de gasa-peetu n. garça-preta","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fô","Partícula","cf. faL02                                  gasa-umwe n. garça-marinha","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"fôfô","Verbo","inflamar gatxya n. voz principal","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Ie-português
Gaxpa","Topónimo","Gaspar idintxi n. dente","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"idô","Substantivo","almofariz","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"idu","Substantivo","piolho","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"gbene uê","Expressão","piscar os olhos ie 1. n. ilha; 2. top. Ilha do Príncipe;","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ifigbô","Substantivo","ifigbô. Prato típico elaborado com","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"gbô","Verbo","defecar","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ge","Substantivo","guerra cozido envolto em folha de bananeira","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"gêêza","Substantivo","igreja ifi-kumi, ifi-kumin n. cf. ufi-kumiA03","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"ifi-pene","Substantivo","pelo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"gigô","Substantivo","glicô igbê n. corpo","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
"Gine","Topónimo","Guiné igbêgbê n. caracol","Principense (Lung'Ie)","Agostinho & Araujo (2021)"
